                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.60263,                      0,                      0,                      0,               0.070018,              0.0033313,              0.0033313
                      1,                 0.1267,                      0,                      0,                      0,               0.037819,              0.0044653,              0.0044653
                      2,                0.06008,                0.94608,                0.99965,                 1.3804,              0.0034194,              0.0033993,              0.0033993
